	DRR445947_FIHES_2023	DRR445948_FIHES_2023	SRR10131528_ZHANG_2020	SRR10131529_ZHANG_2020	SRR10131541_ZHANG_2020	SRR10131550_ZHANG_2020	SRR10131551_ZHANG_2020	SRR10131553_ZHANG_2020	SRR10267800_ZHANG_2020	SRR10267802_ZHANG_2020	SRR11319462_WANG_2021	SRR11319465_WANG_2021	SRR11319470_WANG_2021	SRR11319473_WANG_2021	SRR11319474_WANG_2021	SRR12327344_ALBARRACIN-ARIAS_2021	SRR12328004_ALBARRACIN-ARIAS_2021	SRR13855342_BEIHANG_2022	SRR13855343_BEIHANG_2022	SRR13855344_BEIHANG_2022	SRR13855345_BEIHANG_2022	SRR14119286_SPIESS_2021	SRR14119287_SPIESS_2021	SRR14119288_SPIESS_2021	SRR14119289_SPIESS_2021	SRR15714623_CASR_2022	SRR15714624_CASR_2022	SRR15714625_CASR_2022	SRR15714626_CASR_2022	SRR15879218_GUALTIERI_2023	SRR17982066_LI_2022	SRR17982067_LI_2022	SRR17982068_LI_2022	SRR18494399_CAO_2019	SRR18494400_CAO_2019	SRR18494402_CAO_2019	SRR20853640_LASCU_2022	SRR20853641_LASCU_2022	SRR20853642_LASCU_2022	SRR20853643_LASCU_2022	SRR20853644_LASCU_2022	SRR20853645_LASCU_2022	SRR21755284_DONGHUA_2022	SRR21755285_DONGHUA_2022	SRR21755286_DONGHUA_2022	SRR24018451_SPIESS_2023	SRR24888897_SHANDONG_2023	SRR24888898_SHANDONG_2023	SRR24888899_SHANDONG_2023	SRR24888900_SHANDONG_2023	SRR24888901_SHANDONG_2023	SRR24888902_SHANDONG_2023	SRR24888903_SHANDONG_2023	SRR24888904_SHANDONG_2023	SRR24888905_SHANDONG_2023	SRR24888906_SHANDONG_2023	SRR25536400_CUOG_2023	SRR25536401_CUOG_2023	SRR25536402_CUOG_2023	SRR25536404_CUOG_2023	SRR25536405_CUOG_2023	SRR25536406_CUOG_2023	SRR25536407_CUOG_2023	SRR25536409_CUOG_2023	SRR25536410_CUOG_2023	SRR25536411_CUOG_2023	SRR25536412_CUOG_2023	SRR25536413_CUOG_2023	SRR25536415_CUOG_2023	SRR25536416_CUOG_2023	SRR25536417_CUOG_2023	SRR25536418_CUOG_2023	SRR25536419_CUOG_2023	SRR25536420_CUOG_2023	SRR25536421_CUOG_2023	SRR25536422_CUOG_2023	SRR26068517_LASCU_2022	SRR26068518_LASCU_2022	SRR26068519_LASCU_2022	SRR26068520_LASCU_2022	SRR26284396_SCUT_2023	SRR26284398_SCUT_2023	SRR27374968_DONGHUA_2023	SRR27374969_DONGHUA_2023	SRR27374970_DONGHUA_2023	SRR27374972_DONGHUA_2023	SRR30160120_CASTELLANO-HINOJOSA_2024	SRR30160121_CASTELLANO-HINOJOSA_2024	SRR30160122_CASTELLANO-HINOJOSA_2024	SRR30160123_CASTELLANO-HINOJOSA_2024	SRR30160124_CASTELLANO-HINOJOSA_2024	SRR30160125_CASTELLANO-HINOJOSA_2024	SRR30160126_CASTELLANO-HINOJOSA_2024	SRR30160127_CASTELLANO-HINOJOSA_2024	SRR30160128_CASTELLANO-HINOJOSA_2024	SRR30160129_CASTELLANO-HINOJOSA_2024	SRR30160130_CASTELLANO-HINOJOSA_2024	SRR30160131_CASTELLANO-HINOJOSA_2024	SRR30160132_CASTELLANO-HINOJOSA_2024	SRR30160133_CASTELLANO-HINOJOSA_2024	SRR30160134_CASTELLANO-HINOJOSA_2024	SRR30160135_CASTELLANO-HINOJOSA_2024	SRR30160136_CASTELLANO-HINOJOSA_2024	SRR30160137_CASTELLANO-HINOJOSA_2024	SRR30160138_CASTELLANO-HINOJOSA_2024	SRR30160139_CASTELLANO-HINOJOSA_2024	SRR30160140_CASTELLANO-HINOJOSA_2024	SRR30160141_CASTELLANO-HINOJOSA_2024	SRR30160142_CASTELLANO-HINOJOSA_2024	SRR30160143_CASTELLANO-HINOJOSA_2024	SRR30160144_CASTELLANO-HINOJOSA_2024	SRR30160145_CASTELLANO-HINOJOSA_2024	SRR30160146_CASTELLANO-HINOJOSA_2024	SRR30160147_CASTELLANO-HINOJOSA_2024	SRR30160148_CASTELLANO-HINOJOSA_2024	SRR30160149_CASTELLANO-HINOJOSA_2024	SRR30160150_CASTELLANO-HINOJOSA_2024	SRR30160151_CASTELLANO-HINOJOSA_2024	SRR30160152_CASTELLANO-HINOJOSA_2024	SRR30160153_CASTELLANO-HINOJOSA_2024	SRR30160154_CASTELLANO-HINOJOSA_2024	SRR30160155_CASTELLANO-HINOJOSA_2024	SRR30160156_CASTELLANO-HINOJOSA_2024	SRR30160157_CASTELLANO-HINOJOSA_2024	SRR30160158_CASTELLANO-HINOJOSA_2024	SRR30160159_CASTELLANO-HINOJOSA_2024	SRR30160160_CASTELLANO-HINOJOSA_2024	SRR30160161_CASTELLANO-HINOJOSA_2024	SRR30160162_CASTELLANO-HINOJOSA_2024	SRR30160163_CASTELLANO-HINOJOSA_2024	SRR30160164_CASTELLANO-HINOJOSA_2024	SRR30160165_CASTELLANO-HINOJOSA_2024	SRR30160166_CASTELLANO-HINOJOSA_2024	SRR30160167_CASTELLANO-HINOJOSA_2024	SRR3214536_ZHAO_2017	SRR3214547_ZHAO_2017	SRR3214554_ZHAO_2017	SRR3214573_ZHAO_2017	SRR3214613_ZHAO_2017	SRR3214649_ZHAO_2017	SRR3214699_ZHAO_2017	SRR3215144_ZHAO_2017	SRR3215152_ZHAO_2017	SRR3215163_ZHAO_2017	SRR3215174_ZHAO_2017	SRR3215202_ZHAO_2017	SRR3215242_ZHAO_2017	SRR3215291_ZHAO_2017	SRR3216391_ZHAO_2017	SRR3216392_ZHAO_2017	SRR3216395_ZHAO_2017	SRR3216396_ZHAO_2017	SRR3216397_ZHAO_2017	SRR3216398_ZHAO_2017	SRR3216403_ZHAO_2017	SRR3216404_ZHAO_2017	SRR5121312_ZHAO_2017	SRR5121313_ZHAO_2017	SRR5121314_ZHAO_2017	SRR5121315_ZHAO_2017	SRR5133614_SRINIVASAN_BUTLER_2017	SRR5133615_SRINIVASAN_BUTLER_2017	SRR5133617_SRINIVASAN_BUTLER_2017	SRR5133618_SRINIVASAN_BUTLER_2017	SRR5133619_SRINIVASAN_BUTLER_2017	SRR5133620_SRINIVASAN_BUTLER_2017	SRR5133621_SRINIVASAN_BUTLER_2017	SRR5133622_SRINIVASAN_BUTLER_2017	SRR5133623_SRINIVASAN_BUTLER_2017	SRR5133624_SRINIVASAN_BUTLER_2017	SRR5133626_SRINIVASAN_BUTLER_2017	SRR5340195_PENN_2017	SRR5340196_PENN_2017	SRR5340197_PENN_2017	SRR5487629_PARK_2017	SRR5487632_PARK_2017	SRR5487635_PARK_2017	SRR5487638_PARK_2017	SRR5487641_PARK_2017	SRR6072276_ALAGAPPA_2017	SRR6072278_ALAGAPPA_2017	SRR6914763_SCHMIDT_2018	SRR6914768_SCHMIDT_2018	SRR8272157_ZHEJIANG_2020	SRR8272160_ZHEJIANG_2020	SRR8618605_LIU_2019	SRR8618606_LIU_2019	SRR8618613_LIU_2019	SRR8618614_LIU_2019	SRR10168396_GUO_2020	SRR1802174_CERILLO_2016	SRR1802176_CERILLO_2016	SRR1802177_CERILLO_2016	SRR2053255_CERILLO_2016	SRR2053256_CERILLO_2016	SRR2053257_CERILLO_2016	SRR2053258_CERILLO_2016	SRR2053259_CERILLO_2016	SRR2053260_CERILLO_2016	SRR2053262_CERILLO_2016	SRR2053264_CERILLO_2016	SRR2053265_CERILLO_2016	SRR2053267_CERILLO_2016	SRR2154303_CERILLO_2016	SRR2154305_CERILLO_2016	SRR2154307_CERILLO_2016	SRR2225468_CERILLO_2016	SRR2225470_CERILLO_2016	SRR3189287_CERILLO_2016	SRR3189289_CERILLO_2016	SRR3211888_CERILLO_2016	SRR3211889_CERILLO_2016	SRR3211890_CERILLO_2016	SRR3211891_CERILLO_2016	SRR3342204_CERILLO_2016	SRR3342205_CERILLO_2016	SRR3342206_CERILLO_2016	SRR3342207_CERILLO_2016	SRR5124915_PARK_2017	SRR5895950_ZHANG_2018	SRR5922774_IRENA_2017	SRR5922775_IRENA_2017	SRR5922776_IRENA_2017	SRR5922777_IRENA_2017	SRR6023942_IRENA_2017	SRR6796664_ZAKARIA_2018	SRR6796665_ZAKARIA_2018
SRR11319462_WANG_2021	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR11319465_WANG_2021	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR11319470_WANG_2021	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR11319473_WANG_2021	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR11319474_WANG_2021	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR12327344_ALBARRACIN-ARIAS_2021	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.9968847352024922	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR12328004_ALBARRACIN-ARIAS_2021	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9968847352024922	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR13855342_BEIHANG_2022	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.9693877551020408	0.9723618090452262	0.9693877551020408	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR13855343_BEIHANG_2022	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9693877551020408	0.0	0.9688995215311005	0.9710144927536232	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR13855344_BEIHANG_2022	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9723618090452262	0.9688995215311005	0.0	0.9664268585131894	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
